freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.669e+02,1.950e+01,1.669e+02,3.534e+02
1.5,1.163e+02,6.340e+01,1.163e+02,2.960e+02
3.0,3.782e+01,6.409e+01,3.782e+01,1.397e+02
4.4,1.437e+02,6.440e+01,1.437e+02,3.519e+02
5.9,5.049e+02,6.655e+01,5.049e+02,1.076e+03
7.4,8.789e+02,6.673e+01,8.789e+02,1.824e+03
8.9,1.315e+03,6.277e+01,1.315e+03,2.693e+03
10.4,1.950e+03,6.230e+01,1.950e+03,3.962e+03
11.8,2.119e+03,7.839e+01,2.119e+03,4.316e+03
13.3,2.206e+03,7.923e+01,2.206e+03,4.491e+03
14.8,2.924e+03,7.424e+01,2.924e+03,5.923e+03
16.3,3.804e+03,7.317e+01,3.804e+03,7.682e+03
17.8,4.729e+03,6.479e+01,4.729e+03,9.523e+03
19.2,5.756e+03,6.154e+01,5.756e+03,1.157e+04
20.7,6.955e+03,6.643e+01,6.955e+03,1.398e+04
22.2,8.446e+03,7.463e+01,8.446e+03,1.697e+04
23.7,1.010e+04,7.722e+01,1.010e+04,2.028e+04
25.2,1.160e+04,7.655e+01,1.160e+04,2.327e+04
26.6,1.300e+04,7.978e+01,1.300e+04,2.608e+04
28.1,1.463e+04,8.104e+01,1.463e+04,2.933e+04
29.6,1.721e+04,7.405e+01,1.721e+04,3.450e+04
31.1,2.040e+04,8.650e+01,2.040e+04,4.088e+04
32.6,2.440e+04,1.086e+02,2.440e+04,4.890e+04
34.0,2.957e+04,1.335e+02,2.957e+04,5.928e+04
35.5,3.585e+04,1.842e+02,3.585e+04,7.188e+04
37.0,4.489e+04,3.937e+02,4.489e+04,9.017e+04
38.5,5.443e+04,8.022e+02,5.443e+04,1.097e+05
40.0,5.921e+04,1.030e+03,5.921e+04,1.195e+05
41.4,6.634e+04,1.047e+03,6.634e+04,1.337e+05
42.9,7.786e+04,9.414e+02,7.786e+04,1.567e+05
44.4,9.927e+04,8.709e+02,9.927e+04,1.994e+05
45.9,1.434e+05,7.837e+02,1.434e+05,2.876e+05
47.4,2.092e+05,8.539e+02,2.092e+05,4.193e+05
48.8,2.626e+05,1.843e+03,2.626e+05,5.270e+05
50.3,2.823e+05,4.510e+03,2.823e+05,5.691e+05
51.8,3.144e+05,9.835e+03,3.144e+05,6.387e+05
53.3,3.264e+05,1.718e+04,3.264e+05,6.699e+05
54.8,3.312e+05,2.480e+04,3.312e+05,6.871e+05
56.2,3.397e+05,3.693e+04,3.397e+05,7.163e+05
57.7,3.347e+05,3.679e+04,3.347e+05,7.061e+05
59.2,3.574e+05,2.296e+04,3.574e+05,7.377e+05
60.7,3.691e+05,1.544e+04,3.691e+05,7.537e+05
62.2,3.368e+05,1.234e+04,3.368e+05,6.860e+05
63.6,2.894e+05,1.064e+04,2.894e+05,5.894e+05
65.1,2.460e+05,8.979e+03,2.460e+05,5.010e+05
66.6,2.039e+05,7.138e+03,2.039e+05,4.150e+05
68.1,1.585e+05,5.103e+03,1.585e+05,3.220e+05
69.6,1.269e+05,4.136e+03,1.269e+05,2.578e+05
71.0,1.035e+05,4.106e+03,1.035e+05,2.112e+05
72.5,8.279e+04,4.450e+03,8.279e+04,1.700e+05
74.0,6.831e+04,4.834e+03,6.831e+04,1.414e+05
75.5,6.061e+04,5.460e+03,6.061e+04,1.267e+05
77.0,5.643e+04,5.912e+03,5.643e+04,1.188e+05
78.4,5.005e+04,5.699e+03,5.005e+04,1.058e+05
79.9,3.996e+04,5.032e+03,3.996e+04,8.495e+04
81.4,3.031e+04,4.604e+03,3.031e+04,6.523e+04
82.9,2.270e+04,4.262e+03,2.270e+04,4.965e+04
84.4,1.644e+04,3.636e+03,1.644e+04,3.651e+04
85.8,1.168e+04,2.860e+03,1.168e+04,2.623e+04
87.3,8.361e+03,2.537e+03,8.361e+03,1.926e+04
88.8,5.907e+03,2.407e+03,5.907e+03,1.422e+04
90.3,4.112e+03,2.436e+03,4.112e+03,1.066e+04
91.8,3.078e+03,2.748e+03,3.078e+03,8.903e+03
93.2,2.600e+03,3.772e+03,2.600e+03,8.972e+03
94.7,2.481e+03,5.263e+03,2.481e+03,1.023e+04
96.2,2.661e+03,5.381e+03,2.661e+03,1.070e+04
97.7,2.838e+03,4.832e+03,2.838e+03,1.051e+04
99.2,2.691e+03,4.061e+03,2.691e+03,9.442e+03
100.6,2.484e+03,3.519e+03,2.484e+03,8.488e+03
102.1,2.302e+03,2.872e+03,2.302e+03,7.476e+03
103.6,1.843e+03,1.773e+03,1.843e+03,5.458e+03
105.1,1.421e+03,8.230e+02,1.421e+03,3.664e+03
106.6,1.364e+03,5.079e+02,1.364e+03,3.235e+03
108.0,1.488e+03,5.499e+02,1.488e+03,3.525e+03
109.5,1.529e+03,7.090e+02,1.529e+03,3.767e+03
111.0,1.465e+03,8.279e+02,1.465e+03,3.757e+03
112.5,1.442e+03,8.362e+02,1.442e+03,3.721e+03
114.0,1.465e+03,8.378e+02,1.465e+03,3.768e+03
115.4,1.421e+03,9.359e+02,1.421e+03,3.777e+03
116.9,2.018e+03,1.102e+03,2.018e+03,5.139e+03
118.4,4.301e+03,1.602e+03,4.301e+03,1.020e+04
119.9,9.081e+03,2.597e+03,9.081e+03,2.076e+04
121.4,1.458e+04,3.830e+03,1.458e+04,3.298e+04
122.8,1.937e+04,5.063e+03,1.937e+04,4.380e+04
124.3,2.367e+04,6.361e+03,2.367e+04,5.370e+04
125.8,3.174e+04,8.411e+03,3.174e+04,7.190e+04
127.3,4.680e+04,1.179e+04,4.680e+04,1.054e+05
128.8,6.965e+04,1.651e+04,6.965e+04,1.558e+05
