freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.043e+01,2.944e+02,1.043e+01,3.153e+02
1.5,2.734e+01,2.094e+02,2.734e+01,2.641e+02
3.0,2.696e+01,5.753e+01,2.696e+01,1.114e+02
4.4,2.914e+01,2.829e+02,2.914e+01,3.412e+02
5.9,3.159e+01,1.042e+03,3.159e+01,1.105e+03
7.4,2.876e+01,1.704e+03,2.876e+01,1.762e+03
8.9,2.546e+01,2.704e+03,2.546e+01,2.755e+03
10.4,2.853e+01,3.840e+03,2.853e+01,3.897e+03
11.8,6.096e+01,5.633e+03,6.096e+01,5.755e+03
13.3,9.814e+01,7.260e+03,9.814e+01,7.456e+03
14.8,5.888e+01,6.804e+03,5.888e+01,6.922e+03
16.3,3.620e+01,8.406e+03,3.620e+01,8.478e+03
17.8,3.049e+01,1.061e+04,3.049e+01,1.067e+04
19.2,3.141e+01,1.414e+04,3.141e+01,1.421e+04
20.7,3.476e+01,1.879e+04,3.476e+01,1.885e+04
22.2,4.379e+01,2.333e+04,4.379e+01,2.342e+04
23.7,4.246e+01,2.874e+04,4.246e+01,2.882e+04
25.2,3.975e+01,3.556e+04,3.975e+01,3.564e+04
26.7,3.521e+01,4.310e+04,3.521e+01,4.317e+04
28.1,3.785e+01,5.427e+04,3.785e+01,5.435e+04
29.6,4.837e+01,7.240e+04,4.837e+01,7.249e+04
31.1,6.331e+01,9.881e+04,6.331e+01,9.894e+04
32.6,1.125e+02,1.450e+05,1.125e+02,1.452e+05
34.1,2.548e+02,2.278e+05,2.548e+02,2.284e+05
35.5,3.471e+02,2.865e+05,3.471e+02,2.872e+05
37.0,2.529e+02,2.758e+05,2.529e+02,2.763e+05
38.5,1.917e+02,2.459e+05,1.917e+02,2.463e+05
40.0,1.948e+02,2.477e+05,1.948e+02,2.481e+05
41.5,1.976e+02,3.383e+05,1.976e+02,3.387e+05
42.9,2.408e+02,4.390e+05,2.408e+02,4.394e+05
44.4,2.175e+02,4.238e+05,2.175e+02,4.243e+05
45.9,1.479e+02,3.993e+05,1.479e+02,3.996e+05
47.4,1.510e+02,4.132e+05,1.510e+02,4.135e+05
48.9,2.815e+02,4.005e+05,2.815e+02,4.011e+05
50.3,5.976e+02,3.579e+05,5.976e+02,3.591e+05
51.8,1.057e+03,3.353e+05,1.057e+03,3.374e+05
53.3,1.552e+03,3.556e+05,1.552e+03,3.587e+05
54.8,2.019e+03,3.804e+05,2.019e+03,3.844e+05
56.3,1.756e+03,3.350e+05,1.756e+03,3.385e+05
57.7,1.233e+03,2.407e+05,1.233e+03,2.432e+05
59.2,7.425e+02,1.644e+05,7.425e+02,1.658e+05
60.7,3.645e+02,1.127e+05,3.645e+02,1.135e+05
62.2,2.569e+02,7.425e+04,2.569e+02,7.477e+04
63.7,2.948e+02,4.735e+04,2.948e+02,4.794e+04
65.1,4.619e+02,2.958e+04,4.619e+02,3.050e+04
66.6,7.024e+02,1.806e+04,7.024e+02,1.946e+04
68.1,1.004e+03,1.114e+04,1.004e+03,1.315e+04
69.6,1.826e+03,8.606e+03,1.826e+03,1.226e+04
71.1,3.093e+03,8.671e+03,3.093e+03,1.486e+04
72.5,4.411e+03,9.938e+03,4.411e+03,1.876e+04
74.0,5.499e+03,1.201e+04,5.499e+03,2.301e+04
75.5,6.336e+03,1.462e+04,6.336e+03,2.729e+04
77.0,7.484e+03,1.811e+04,7.484e+03,3.308e+04
78.5,9.314e+03,2.197e+04,9.314e+03,4.060e+04
80.0,1.164e+04,2.534e+04,1.164e+04,4.862e+04
81.4,1.315e+04,2.722e+04,1.315e+04,5.352e+04
82.9,1.379e+04,2.792e+04,1.379e+04,5.550e+04
84.4,1.496e+04,3.028e+04,1.496e+04,6.021e+04
85.9,1.509e+04,3.511e+04,1.509e+04,6.529e+04
87.4,1.619e+04,4.353e+04,1.619e+04,7.590e+04
88.8,1.740e+04,5.148e+04,1.740e+04,8.627e+04
90.3,1.752e+04,5.451e+04,1.752e+04,8.956e+04
91.8,1.762e+04,5.437e+04,1.762e+04,8.962e+04
93.3,1.849e+04,5.519e+04,1.849e+04,9.217e+04
94.8,2.016e+04,5.958e+04,2.016e+04,9.989e+04
96.2,2.132e+04,6.294e+04,2.132e+04,1.056e+05
97.7,2.014e+04,6.116e+04,2.014e+04,1.014e+05
99.2,1.769e+04,5.463e+04,1.769e+04,9.001e+04
100.7,1.486e+04,4.636e+04,1.486e+04,7.608e+04
102.2,1.358e+04,3.993e+04,1.358e+04,6.710e+04
103.6,1.177e+04,3.243e+04,1.177e+04,5.597e+04
105.1,7.853e+03,2.342e+04,7.853e+03,3.913e+04
106.6,6.614e+03,2.014e+04,6.614e+03,3.337e+04
108.1,5.969e+03,1.871e+04,5.969e+03,3.065e+04
109.6,4.684e+03,1.690e+04,4.684e+03,2.627e+04
111.0,4.896e+03,1.639e+04,4.896e+03,2.619e+04
112.5,6.276e+03,1.715e+04,6.276e+03,2.970e+04
114.0,6.812e+03,1.762e+04,6.812e+03,3.125e+04
115.5,5.799e+03,1.698e+04,5.799e+03,2.858e+04
117.0,4.934e+03,1.551e+04,4.934e+03,2.538e+04
118.4,7.998e+03,1.336e+04,7.998e+03,2.935e+04
119.9,1.498e+04,1.062e+04,1.498e+04,4.059e+04
121.4,2.131e+04,7.863e+03,2.131e+04,5.049e+04
122.9,2.550e+04,5.536e+03,2.550e+04,5.654e+04
124.4,2.818e+04,3.728e+03,2.818e+04,6.010e+04
125.8,2.983e+04,2.557e+03,2.983e+04,6.222e+04
127.3,3.356e+04,1.781e+03,3.356e+04,6.891e+04
128.8,3.754e+04,1.281e+03,3.754e+04,7.636e+04
130.3,3.768e+04,1.260e+03,3.768e+04,7.662e+04
131.8,3.354e+04,1.397e+03,3.354e+04,6.847e+04
133.3,1.590e+04,9.325e+02,1.590e+04,3.272e+04
134.7,3.491e+03,4.126e+02,3.491e+03,7.395e+03
136.2,2.900e+03,3.169e+02,2.900e+03,6.116e+03
137.7,2.894e+03,2.830e+02,2.894e+03,6.071e+03
139.2,2.983e+03,2.491e+02,2.983e+03,6.215e+03
140.7,2.959e+03,2.145e+02,2.959e+03,6.132e+03
142.1,2.856e+03,1.972e+02,2.856e+03,5.909e+03
143.6,2.641e+03,1.886e+02,2.641e+03,5.471e+03
145.1,2.272e+03,1.704e+02,2.272e+03,4.714e+03
146.6,2.088e+03,1.712e+02,2.088e+03,4.347e+03
148.1,1.874e+03,1.647e+02,1.874e+03,3.913e+03
149.5,1.603e+03,1.604e+02,1.603e+03,3.367e+03
151.0,1.583e+03,1.657e+02,1.583e+03,3.331e+03
152.5,1.456e+03,1.500e+02,1.456e+03,3.062e+03
154.0,1.243e+03,1.620e+02,1.243e+03,2.648e+03
155.5,1.100e+03,1.809e+02,1.100e+03,2.380e+03
156.9,9.963e+02,1.943e+02,9.963e+02,2.187e+03
158.4,9.100e+02,1.933e+02,9.100e+02,2.013e+03
159.9,7.908e+02,1.947e+02,7.908e+02,1.776e+03
161.4,6.783e+02,1.825e+02,6.783e+02,1.539e+03
162.9,6.310e+02,1.858e+02,6.310e+02,1.448e+03
164.3,6.127e+02,2.057e+02,6.127e+02,1.431e+03
165.8,5.589e+02,2.033e+02,5.589e+02,1.321e+03
167.3,4.423e+02,2.011e+02,4.423e+02,1.086e+03
168.8,3.660e+02,2.090e+02,3.660e+02,9.411e+02
170.3,3.591e+02,2.240e+02,3.591e+02,9.421e+02
171.7,4.049e+02,2.429e+02,4.049e+02,1.053e+03
173.2,4.897e+02,2.749e+02,4.897e+02,1.254e+03
174.7,5.790e+02,3.282e+02,5.790e+02,1.486e+03
176.2,6.361e+02,3.885e+02,6.361e+02,1.661e+03
177.7,6.543e+02,4.438e+02,6.543e+02,1.752e+03
179.1,6.807e+02,5.133e+02,6.807e+02,1.875e+03
180.6,6.989e+02,5.742e+02,6.989e+02,1.972e+03
182.1,6.827e+02,6.240e+02,6.827e+02,1.989e+03
183.6,6.327e+02,6.655e+02,6.327e+02,1.931e+03
185.1,5.914e+02,6.896e+02,5.914e+02,1.872e+03
186.6,6.124e+02,7.393e+02,6.124e+02,1.964e+03
188.0,6.573e+02,7.787e+02,6.573e+02,2.093e+03
189.5,7.138e+02,8.145e+02,7.138e+02,2.242e+03
191.0,7.930e+02,8.305e+02,7.930e+02,2.417e+03
192.5,9.382e+02,7.781e+02,9.382e+02,2.654e+03
194.0,1.084e+03,8.207e+02,1.084e+03,2.988e+03
195.4,1.209e+03,8.177e+02,1.209e+03,3.237e+03
196.9,1.303e+03,7.836e+02,1.303e+03,3.390e+03
198.4,1.359e+03,7.979e+02,1.359e+03,3.516e+03
199.9,1.351e+03,8.042e+02,1.351e+03,3.507e+03
